session_id,cohort_id,grade_band,unit_family,unit_label,session_index,session_title,planned_objective,scheduled_date,duration_min,delivery_mode
S_C1012_08_04,C1012_08,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-04-13,75,in_person
S_C1012_08_05,C1012_08,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-04-20,75,in_person
S_C1012_08_06,C1012_08,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-04-27,75,in_person
S_C1012_08_07,C1012_08,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-05-04,75,in_person
S_C1012_08_08,C1012_08,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-05-11,75,in_person
S_C1012_09_01,C1012_09,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-03-30,75,blended
S_C1012_09_02,C1012_09,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-04-06,75,blended
S_C1012_09_03,C1012_09,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-04-13,75,blended
S_C1012_09_04,C1012_09,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-04-20,75,blended
S_C1012_09_05,C1012_09,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-04-27,75,blended
S_C1012_09_06,C1012_09,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-05-04,75,blended
S_C1012_09_07,C1012_09,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-05-11,75,blended
S_C1012_09_08,C1012_09,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-05-18,75,blended
S_C1012_10_01,C1012_10,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-04-06,75,in_person
S_C1012_10_02,C1012_10,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-04-13,75,in_person
S_C1012_10_03,C1012_10,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-04-20,75,in_person
S_C1012_10_04,C1012_10,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-04-27,75,in_person
S_C1012_10_05,C1012_10,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-05-04,75,in_person
S_C1012_10_06,C1012_10,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-05-11,75,in_person
S_C1012_10_07,C1012_10,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-05-18,75,in_person
S_C1012_10_08,C1012_10,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-05-25,75,in_person
S_C1012_11_01,C1012_11,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-04-13,75,in_person
S_C1012_11_02,C1012_11,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-04-20,75,in_person
S_C1012_11_03,C1012_11,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-04-27,75,in_person
S_C1012_11_04,C1012_11,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-05-04,75,in_person
S_C1012_11_05,C1012_11,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-05-11,75,in_person
S_C1012_11_06,C1012_11,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-05-18,75,in_person
S_C1012_11_07,C1012_11,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-05-25,75,in_person
S_C1012_11_08,C1012_11,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-06-01,75,in_person
S_C1012_12_01,C1012_12,10-12,venture_sprint,Venture Sprint,1,Choose a Problem Worth Solving,Choose a problem with a real user and evidence of need.,2026-04-20,75,in_person
S_C1012_12_02,C1012_12,10-12,venture_sprint,Venture Sprint,2,Value Proposition + Risks,Craft a value proposition and identify key risks.,2026-04-27,75,in_person
S_C1012_12_03,C1012_12,10-12,venture_sprint,Venture Sprint,3,Prototype + Test Fast,Prototype quickly and test with target users.,2026-05-04,75,in_person
S_C1012_12_04,C1012_12,10-12,venture_sprint,Venture Sprint,4,Metrics + Experiments,Define metrics and design experiments.,2026-05-11,75,in_person
S_C1012_12_05,C1012_12,10-12,venture_sprint,Venture Sprint,5,Business Model Basics,Explore business model basics and unit economics.,2026-05-18,75,in_person
S_C1012_12_06,C1012_12,10-12,venture_sprint,Venture Sprint,6,Responsible AI & Trust,"Address trust, privacy, bias, and safety.",2026-05-25,75,in_person
S_C1012_12_07,C1012_12,10-12,venture_sprint,Venture Sprint,7,Pitch Deck Sprint,Assemble a pitch deck supported by evidence.,2026-06-01,75,in_person
S_C1012_12_08,C1012_12,10-12,venture_sprint,Venture Sprint,8,Investor Demo Day,Present the venture and reflect on next experiments.,2026-06-08,75,in_person
